	0
0	1413.7355644702911
1	1425.7570905685425
2	1426.172152519226
3	1425.419835805893
4	1427.4629147052765
5	1425.7481796741486
6	1427.952243089676
7	1426.6636819839478
8	1428.0805583000183
9	1427.5170361995697
10	1426.886106967926
11	1430.1343405246735
12	1425.4092831611633
13	1429.8083856105804
14	1427.3076105117798
15	1428.990247964859
16	1426.2785172462463
17	1429.9144132137299
18	1429.7151145935059
19	1430.069990158081
20	1430.8817524909973
21	1428.0770008563995
22	1427.8398749828339
23	1428.8546130657196
24	1427.8182845115662
25	1428.3202149868011
26	1427.1889479160309
27	1429.2476313114166
28	1430.6033344268799
29	1427.794641494751
